rank,name,team,position,bye,adp,hasMarketAdp,fairRank,marketDelta,marketLabel,lateRoundLabel,week1Projection,seasonProjection,projectedGames,riskScore,riskTags,joannaNote,jeffNote
191,Cade Otton,TB,TE,10,273,false,191,82,Late Only,Bench clog risk,5.18,84.5,16,1.3,Q; Undisclosed,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 191, no ADP; Yahoo rank 273, delta +82. Season 5.0 ppg, Week 1 5.2, risk 1.3 (Q; Undisclosed)."
192,Kenyon Sadiq,NYJ,TE,13,130,true,192,-62,Trap,Bench clog risk,4.94,85.3,16,1.3,Q; Abdomen,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 192, ADP 130, delta -62. Season 5.0 ppg, Week 1 4.9, risk 1.3 (Q; Abdomen)."
193,Malachi Fields,NYG,WR,8,242,false,193,49,Late Only,Bench clog risk,4.13,59.18,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 193, no ADP; Yahoo rank 242, delta +49. Season 3.5 ppg, Week 1 4.1, risk 0.0."
194,Darnell Mooney,NYG,WR,8,244,false,194,50,Late Only,Bench clog risk,4.23,58.31,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 194, no ADP; Yahoo rank 244, delta +50. Season 3.4 ppg, Week 1 4.2, risk 0.0."
195,Jonah Coleman,DEN,RB,10,130.2,true,195,-64.8,Let Fall,Bench clog risk,3.44,63.1,16,0,,"Good player, but the room is paying for most of the upside. Take him only if he slips near your pick.","Fair 195, ADP 130, delta -65. Season 3.7 ppg, Week 1 3.4, risk 0.0."
196,Colby Parkinson,LAR,TE,11,269,false,196,73,Late Only,Bench clog risk,3.83,60.41,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 196, no ADP; Yahoo rank 269, delta +73. Season 3.6 ppg, Week 1 3.8, risk 0.0."
197,Darnell Washington,PIT,TE,9,286,false,197,89,Late Only,Bench clog risk,3.56,61.61,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 197, no ADP; Yahoo rank 286, delta +89. Season 3.6 ppg, Week 1 3.6, risk 0.0."
198,KaVontae Turpin,DAL,WR,14,500,false,198,302,Late Only,Bench clog risk,3.5,61.1,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 198, no ADP; Yahoo rank 2063, delta +302. Season 3.6 ppg, Week 1 3.5, risk 0.0."
199,Jack Bech,LV,WR,13,232,false,199,33,Late Only,Bench clog risk,3.76,58.39,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 199, no ADP; Yahoo rank 232, delta +33. Season 3.4 ppg, Week 1 3.8, risk 0.0."
200,Calvin Ridley,TEN,WR,9,215,false,200,15,Late Only,Bench clog risk,5.02,71.37,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 200, no ADP; Yahoo rank 215, delta +15. Season 4.2 ppg, Week 1 5.0, risk 0.9 (14 projected games)."
201,Dawson Knox,BUF,TE,7,367,false,201,166,Late Only,Bench clog risk,3.53,59.42,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 201, no ADP; Yahoo rank 367, delta +166. Season 3.5 ppg, Week 1 3.5, risk 0.0."
202,Mason Taylor,NYJ,TE,13,317,false,202,115,Late Only,Bench clog risk,3.53,59.13,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 202, no ADP; Yahoo rank 317, delta +115. Season 3.5 ppg, Week 1 3.5, risk 0.0."
203,Michael Mayer,LV,TE,13,308,false,203,105,Late Only,Bench clog risk,3.47,59.13,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 203, no ADP; Yahoo rank 308, delta +105. Season 3.5 ppg, Week 1 3.5, risk 0.0."
204,Cole Kmet,CHI,TE,10,380,false,204,176,Late Only,Bench clog risk,3.33,56.44,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 204, no ADP; Yahoo rank 380, delta +176. Season 3.3 ppg, Week 1 3.3, risk 0.0."
205,Chimere Dike,TEN,WR,9,329,false,205,124,Late Only,Bench clog risk,3.03,57.52,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 205, no ADP; Yahoo rank 329, delta +124. Season 3.4 ppg, Week 1 3.0, risk 0.0."
206,Darius Slayton,NYG,WR,8,280,false,206,74,Late Only,Bench clog risk,2.93,56.72,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 206, no ADP; Yahoo rank 280, delta +74. Season 3.3 ppg, Week 1 2.9, risk 0.0."
207,Evan Engram,DEN,TE,10,299,false,207,92,Late Only,Bench clog risk,3.46,61.01,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 207, no ADP; Yahoo rank 299, delta +92. Season 3.6 ppg, Week 1 3.5, risk 0.3 (15 projected games)."
208,DeMario Douglas,NE,WR,11,304,false,208,96,Late Only,Bench clog risk,3.25,53.62,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 208, no ADP; Yahoo rank 304, delta +96. Season 3.2 ppg, Week 1 3.3, risk 0.0."
209,Antonio Williams,WAS,WR,7,236,false,209,27,Late Only,Bench clog risk,2.72,56.27,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 209, no ADP; Yahoo rank 236, delta +27. Season 3.3 ppg, Week 1 2.7, risk 0.0."
210,Elijah Arroyo,SEA,TE,11,323,false,210,113,Late Only,Bench clog risk,3.07,53.86,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 210, no ADP; Yahoo rank 323, delta +113. Season 3.2 ppg, Week 1 3.1, risk 0.0."
211,Jaylin Noel,HOU,WR,8,200,false,211,-11,Late Only,Bench clog risk,4.52,74.42,16,1.3,Q; Hamstring,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 211, no ADP; Yahoo rank 200, delta -11. Season 4.4 ppg, Week 1 4.5, risk 1.3 (Q; Hamstring)."
212,Kimani Vidal,LAC,RB,7,250,false,212,38,Late Only,Bench clog risk,3.07,52.87,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 212, no ADP; Yahoo rank 250, delta +38. Season 3.1 ppg, Week 1 3.1, risk 0.0."
213,Troy Franklin,DEN,WR,10,301,false,213,88,Late Only,Bench clog risk,2.82,53.71,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 213, no ADP; Yahoo rank 301, delta +88. Season 3.2 ppg, Week 1 2.8, risk 0.0."
214,Jahan Dotson,ATL,WR,11,235,false,214,21,Late Only,Bench clog risk,4.01,65.02,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 214, no ADP; Yahoo rank 235, delta +21. Season 3.8 ppg, Week 1 4.0, risk 0.9 (12 projected games)."
215,Sean Tucker,TB,RB,10,243,false,215,28,Late Only,Bench clog risk,3.28,48.65,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 215, no ADP; Yahoo rank 243, delta +28. Season 2.9 ppg, Week 1 3.3, risk 0.0."
216,Isiah Pacheco,DET,RB,6,126.2,true,216,-89.8,Trap,Bench clog risk,4.78,76.08,15,1.65,Q; Knee - MCL; 15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 216, ADP 126, delta -90. Season 4.5 ppg, Week 1 4.8, risk 1.6 (Q; Knee - MCL; 15 projected games)."
217,Charlie Kolar,LAC,TE,7,272,false,217,55,Late Only,Bench clog risk,3.4,45.16,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 217, no ADP; Yahoo rank 272, delta +55. Season 2.7 ppg, Week 1 3.4, risk 0.0."
218,Elic Ayomanor,TEN,WR,9,315,false,218,97,Late Only,Bench clog risk,2.74,45.65,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 218, no ADP; Yahoo rank 315, delta +97. Season 2.7 ppg, Week 1 2.7, risk 0.0."
219,Justice Hill,BAL,RB,13,256,false,219,37,Late Only,Bench clog risk,3.83,59.02,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 219, no ADP; Yahoo rank 256, delta +37. Season 3.5 ppg, Week 1 3.8, risk 0.9 (12 projected games)."
220,Jake Tonges,SF,TE,8,305,false,220,85,Late Only,Bench clog risk,2.23,47.53,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 220, no ADP; Yahoo rank 305, delta +85. Season 2.8 ppg, Week 1 2.2, risk 0.0."
221,Olamide Zaccheaus,ATL,WR,11,500,false,221,279,Late Only,Bench clog risk,2.69,43.75,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 221, no ADP; Yahoo rank 2069, delta +279. Season 2.6 ppg, Week 1 2.7, risk 0.0."
222,Jaydon Blue,DAL,RB,14,167,false,222,-55,Late Only,Bench clog risk,3.37,60.19,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 222, no ADP; Yahoo rank 167, delta -55. Season 3.5 ppg, Week 1 3.4, risk 0.9 (12 projected games)."
223,Noah Gray,KC,TE,5,500,false,223,277,Late Only,Bench clog risk,2.66,43.5,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 223, no ADP; Yahoo rank 2094, delta +277. Season 2.6 ppg, Week 1 2.7, risk 0.0."
224,Xavier Hutchinson,HOU,WR,8,297,false,224,73,Late Only,Bench clog risk,3.31,39.1,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 224, no ADP; Yahoo rank 297, delta +73. Season 2.3 ppg, Week 1 3.3, risk 0.0."
225,Elijah Sarratt,BAL,WR,13,296,false,225,71,Late Only,Bench clog risk,2.09,46.75,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 225, no ADP; Yahoo rank 296, delta +71. Season 2.8 ppg, Week 1 2.1, risk 0.0."
226,David Njoku,LAC,TE,7,124.6,true,226,-101.4,Trap,Bench clog risk,3.12,46.17,15,0.35,15 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 226, ADP 125, delta -101. Season 2.7 ppg, Week 1 3.1, risk 0.3 (15 projected games)."
227,Ted Hurst III,TB,WR,10,239,false,227,12,Late Only,Bench clog risk,2.89,60.22,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 227, no ADP; Yahoo rank 239, delta +12. Season 3.5 ppg, Week 1 2.9, risk 0.9 (12 projected games)."
228,Daniel Bellinger,TEN,TE,9,500,false,228,272,Late Only,Bench clog risk,3.01,38.25,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 228, no ADP; Yahoo rank 2078, delta +272. Season 2.3 ppg, Week 1 3.0, risk 0.0."
229,Will Kacmarek,MIA,TE,6,500,false,229,271,Late Only,Bench clog risk,2.58,40.86,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 229, no ADP; Yahoo rank 2236, delta +271. Season 2.4 ppg, Week 1 2.6, risk 0.0."
230,Kendrick Bourne,ARI,WR,14,351,false,230,121,Late Only,Bench clog risk,3.23,57.41,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 230, no ADP; Yahoo rank 351, delta +121. Season 3.4 ppg, Week 1 3.2, risk 0.9 (12 projected games)."
231,Emmett Johnson,KC,RB,5,155,false,231,-76,Late Only,Bench clog risk,3.06,57.2,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 231, no ADP; Yahoo rank 155, delta -76. Season 3.4 ppg, Week 1 3.1, risk 0.9 (14 projected games)."
232,Nicholas Singleton,TEN,RB,9,194,false,232,-38,Late Only,Bench clog risk,2.53,46.96,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 232, no ADP; Yahoo rank 194, delta -38. Season 2.8 ppg, Week 1 2.5, risk 0.3 (15 projected games)."
233,Tyquan Thornton,KC,WR,5,233,false,233,0,Late Only,Bench clog risk,3.6,58.28,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 233, no ADP; Yahoo rank 233, delta 0. Season 3.4 ppg, Week 1 3.6, risk 1.2 (8 projected games)."
234,Tank Dell,HOU,WR,8,252,false,234,18,Late Only,Bench clog risk,3.55,94.36,14,2.8,Q; Knee - ACL + MCL; 14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 234, no ADP; Yahoo rank 252, delta +18. Season 5.6 ppg, Week 1 3.5, risk 2.8 (Q; Knee - ACL + MCL; 14 projected games)."
235,Tory Horton,SEA,WR,11,298,false,235,63,Late Only,Bench clog risk,2.99,60.8,16,1.3,Q; Undisclosed,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 235, no ADP; Yahoo rank 298, delta +63. Season 3.6 ppg, Week 1 3.0, risk 1.3 (Q; Undisclosed)."
236,Theo Johnson,NYG,TE,8,316,false,236,80,Late Only,Bench clog risk,3.36,57.28,16,1.3,Q; Undisclosed,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 236, no ADP; Yahoo rank 316, delta +80. Season 3.4 ppg, Week 1 3.4, risk 1.3 (Q; Undisclosed)."
237,Kalif Raymond,CHI,WR,10,500,false,237,263,Late Only,Bench clog risk,2.37,32.85,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 237, no ADP; Yahoo rank 2100, delta +263. Season 1.9 ppg, Week 1 2.4, risk 0.0."
238,MarShawn Lloyd,GB,RB,11,131.5,true,238,-106.5,Trap,Contingent upside,4.01,64.26,4,2.1,Jacobs groin/discipline contingency; own health history; 4 projected games,"Only late. He is a contingency, not a starter you can trust on draft night.","Useful leverage if Jacobs' news worsens, but his own durability and low projection keep the price capped."
239,Geno Smith,NYJ,QB,13,253,false,239,14,Late Only,Playable now,12.87,202.43,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 239, no ADP; Yahoo rank 253, delta +14. Season 11.9 ppg, Week 1 12.9, risk 0.3 (15 projected games)."
240,Justin Joly,DEN,TE,10,500,false,240,260,Late Only,Bench clog risk,1.93,34.11,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 240, no ADP; Yahoo rank 2146, delta +260. Season 2.0 ppg, Week 1 1.9, risk 0.0."
241,Aaron Rodgers,PIT,QB,9,116.3,true,241,-124.7,Trap,Playable now,14.61,203.62,12,0.9,12 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 241, ADP 116, delta -125. Season 12.0 ppg, Week 1 14.6, risk 0.9 (12 projected games)."
242,Calvin Austin III,NYG,WR,8,322,false,242,80,Late Only,Bench clog risk,2.16,32.14,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 242, no ADP; Yahoo rank 322, delta +80. Season 1.9 ppg, Week 1 2.2, risk 0.0."
243,Alvin Kamara,NO,RB,8,126.1,true,243,-116.9,Trap,Bench clog risk,4.04,71.53,12,5,Q; MCL; expected out at least a month; 12 projected games,Not a Week 1 survival pick. Avoid unless extremely late and clearly a stash.,Expected multi-week absence makes him a poor guillotine draft asset before waivers reshape the league.
244,Eli Raridon,NE,TE,11,285,false,244,41,Late Only,Bench clog risk,1.94,33.5,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 244, no ADP; Yahoo rank 285, delta +41. Season 2.0 ppg, Week 1 1.9, risk 0.0."
245,Noah Fant,NO,TE,8,372,false,245,127,Late Only,Bench clog risk,2.15,32.03,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 245, no ADP; Yahoo rank 372, delta +127. Season 1.9 ppg, Week 1 2.1, risk 0.0."
246,Marvin Mims Jr.,DEN,WR,10,343,false,246,97,Late Only,Bench clog risk,3.29,54.68,16,1.3,Q; Undisclosed,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 246, no ADP; Yahoo rank 343, delta +97. Season 3.2 ppg, Week 1 3.3, risk 1.3 (Q; Undisclosed)."
247,Ja'Tavion Sanders,CAR,TE,5,500,false,247,253,Late Only,Bench clog risk,1.98,32.27,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 247, no ADP; Yahoo rank 2075, delta +253. Season 1.9 ppg, Week 1 2.0, risk 0.0."
248,Austin Hooper,ATL,TE,11,500,false,248,252,Late Only,Bench clog risk,2.08,31.62,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 248, no ADP; Yahoo rank 2058, delta +252. Season 1.9 ppg, Week 1 2.1, risk 0.0."
249,Mack Hollins,NE,WR,11,349,false,249,100,Late Only,Bench clog risk,1.6,34.15,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 249, no ADP; Yahoo rank 349, delta +100. Season 2.0 ppg, Week 1 1.6, risk 0.0."
250,John Metchie III,CAR,WR,5,500,false,250,250,Late Only,Bench clog risk,2.06,30.73,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 250, no ADP; Yahoo rank 2082, delta +250. Season 1.8 ppg, Week 1 2.1, risk 0.0."
251,Josh Oliver,MIN,TE,6,500,false,251,249,Late Only,Bench clog risk,1.99,31.12,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 251, no ADP; Yahoo rank 2055, delta +249. Season 1.8 ppg, Week 1 2.0, risk 0.0."
252,Jaylen Wright,MIA,RB,6,279,false,252,27,Late Only,Bench clog risk,2.74,46.48,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 252, no ADP; Yahoo rank 279, delta +27. Season 2.7 ppg, Week 1 2.7, risk 0.9 (12 projected games)."
253,Kaelon Black,SF,RB,8,205,false,253,-48,Late Only,Bench clog risk,2.49,46.79,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 253, no ADP; Yahoo rank 205, delta -48. Season 2.8 ppg, Week 1 2.5, risk 0.9 (12 projected games)."
254,Eli Stowers,PHI,TE,10,282,false,254,28,Late Only,Bench clog risk,2.81,54.02,16,1.3,Q; Hamstring,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 254, no ADP; Yahoo rank 282, delta +28. Season 3.2 ppg, Week 1 2.8, risk 1.3 (Q; Hamstring)."
255,Tommy Tremble,CAR,TE,5,500,false,255,245,Late Only,Bench clog risk,1.86,29.41,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 255, no ADP; Yahoo rank 2080, delta +245. Season 1.7 ppg, Week 1 1.9, risk 0.0."
256,Adam Trautman,DEN,TE,10,500,false,256,244,Late Only,Bench clog risk,1.87,28.48,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 256, no ADP; Yahoo rank 2088, delta +244. Season 1.7 ppg, Week 1 1.9, risk 0.0."
257,Brock Wright,DET,TE,6,500,false,257,243,Late Only,Bench clog risk,2.03,26.78,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 257, no ADP; Yahoo rank 2059, delta +243. Season 1.6 ppg, Week 1 2.0, risk 0.0."
258,Demond Claiborne,MIN,RB,6,207,false,258,-51,Late Only,Bench clog risk,1.86,27.65,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 258, no ADP; Yahoo rank 207, delta -51. Season 1.6 ppg, Week 1 1.9, risk 0.0."
259,Tyler Higbee,LAR,TE,11,288,false,259,29,Late Only,Bench clog risk,2.09,34.35,15,0.35,15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 259, no ADP; Yahoo rank 288, delta +29. Season 2.0 ppg, Week 1 2.1, risk 0.3 (15 projected games)."
260,Isaiah Davis,NYJ,RB,13,214,false,260,-46,Late Only,Bench clog risk,3.35,48.41,16,1.3,Q; Knee,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 260, no ADP; Yahoo rank 214, delta -46. Season 2.8 ppg, Week 1 3.4, risk 1.3 (Q; Knee)."
261,Hollywood Brown,PHI,WR,10,350,false,261,89,Late Only,Bench clog risk,2.49,43.96,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 261, no ADP; Yahoo rank 350, delta +89. Season 2.6 ppg, Week 1 2.5, risk 0.9 (14 projected games)."
262,Max Klare,LAR,TE,11,500,false,262,238,Late Only,Bench clog risk,1.36,30.07,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 262, no ADP; Yahoo rank 2185, delta +238. Season 1.8 ppg, Week 1 1.4, risk 0.0."
263,Ty Johnson,BUF,RB,7,321,false,263,58,Late Only,Bench clog risk,3,49.84,16,1.3,Q; Lower Leg,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 263, no ADP; Yahoo rank 321, delta +58. Season 2.9 ppg, Week 1 3.0, risk 1.3 (Q; Lower Leg)."
264,Roman Wilson,PIT,WR,9,347,false,264,83,Late Only,Bench clog risk,2.65,42.5,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 264, no ADP; Yahoo rank 347, delta +83. Season 2.5 ppg, Week 1 2.6, risk 0.9 (12 projected games)."
265,Marlin Klein,HOU,TE,8,500,false,265,235,Late Only,Bench clog risk,1.77,26.99,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 265, no ADP; Yahoo rank 2235, delta +235. Season 1.6 ppg, Week 1 1.8, risk 0.0."
266,Cyrus Allen,KC,WR,5,174,false,266,-92,Late Only,Bench clog risk,2.44,63.04,8,1.8,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 266, no ADP; Yahoo rank 174, delta -92. Season 3.7 ppg, Week 1 2.4, risk 1.8 (8 projected games)."
267,Jackson Hawes,BUF,TE,7,500,false,267,233,Late Only,Bench clog risk,1.59,26.43,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 267, no ADP; Yahoo rank 2085, delta +233. Season 1.6 ppg, Week 1 1.6, risk 0.0."
268,Isaiah Bond,CLE,WR,11,320,false,268,52,Late Only,Bench clog risk,2.08,43.99,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 268, no ADP; Yahoo rank 320, delta +52. Season 2.6 ppg, Week 1 2.1, risk 0.9 (12 projected games)."
269,Devontez Walker,BAL,WR,13,500,false,269,231,Late Only,Bench clog risk,2.56,40.17,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 269, no ADP; Yahoo rank 2076, delta +231. Season 2.4 ppg, Week 1 2.6, risk 0.9 (12 projected games)."
270,Chris Bell,MIA,WR,6,264,false,270,-6,Late Only,Bench clog risk,2.29,55.64,12,1.5,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 270, no ADP; Yahoo rank 264, delta -6. Season 3.3 ppg, Week 1 2.3, risk 1.5 (12 projected games)."
271,Kaytron Allen,WAS,RB,7,229,false,271,-42,Late Only,Bench clog risk,1.96,43.55,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 271, no ADP; Yahoo rank 229, delta -42. Season 2.6 ppg, Week 1 2.0, risk 0.9 (12 projected games)."
272,Drew Sample,CIN,TE,6,500,false,272,228,Late Only,Bench clog risk,1.52,23.98,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 272, no ADP; Yahoo rank 2263, delta +228. Season 1.4 ppg, Week 1 1.5, risk 0.0."
273,Savion Williams,GB,WR,11,344,false,273,71,Late Only,Bench clog risk,2.49,38.61,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 273, no ADP; Yahoo rank 344, delta +71. Season 2.3 ppg, Week 1 2.5, risk 0.9 (12 projected games)."
274,CJ Daniels,LAR,WR,11,342,false,274,68,Late Only,Bench clog risk,1.4,23.81,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 274, no ADP; Yahoo rank 342, delta +68. Season 1.4 ppg, Week 1 1.4, risk 0.0."
275,Jack Endries,CIN,TE,6,500,false,275,225,Late Only,Bench clog risk,1.28,37.99,16,0.6,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 275, no ADP; Yahoo rank 2205, delta +225. Season 2.2 ppg, Week 1 1.3, risk 0.6."
276,Jalen Tolbert,MIA,WR,6,353,false,276,77,Late Only,Bench clog risk,2.78,41.98,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 276, no ADP; Yahoo rank 353, delta +77. Season 2.5 ppg, Week 1 2.8, risk 1.2 (8 projected games)."
277,Xavier Legette,CAR,WR,5,276,false,277,-1,Late Only,Bench clog risk,3.47,60.18,14,2.2,Q; Ankle; 14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 277, no ADP; Yahoo rank 276, delta -1. Season 3.5 ppg, Week 1 3.5, risk 2.2 (Q; Ankle; 14 projected games)."
278,Mitchell Evans,CAR,TE,5,500,false,278,222,Late Only,Bench clog risk,1.4,21.69,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 278, no ADP; Yahoo rank 2096, delta +222. Season 1.3 ppg, Week 1 1.4, risk 0.0."
